1.26045;0.423919;0.836536
1.24323;0.440902;0.802327
1.23355;0.431413;0.802136
1.2542;0.440592;0.813605
1.23911;0.422485;0.816629
1.22832;0.424071;0.804253
1.23933;0.423163;0.816164
1.26024;0.442451;0.817793
1.23187;0.42237;0.809499
1.24665;0.423196;0.823457
1.24391;0.438552;0.805355
1.23297;0.422908;0.810066
1.2336;0.431075;0.802523
1.24662;0.422895;0.823729
1.22572;0.423702;0.802018
1.24716;0.443185;0.803979
1.27794;0.453502;0.824437
1.25575;0.423261;0.832489
1.22748;0.423628;0.80385
1.2594;0.443591;0.815812
